agent_id,preferred_novelty,reward_mean,punishment_mean
0,0.576990693716741,0.37699069371674104,0.776990693716741
1,0.4785690333184664,0.2785690333184664,0.6785690333184664
2,0.3276585817027273,0.12765858170272731,0.5276585817027273
3,0.5494298386268545,0.34942983862685445,0.7494298386268545
4,0.7447779864036457,0.5447779864036457,0.9
5,0.6189523830187008,0.4189523830187008,0.8189523830187009
6,0.4099638892263552,0.20996388922635517,0.6099638892263552
7,0.4185986798873871,0.21859867988738707,0.618598679887387
8,0.5375041520927353,0.33750415209273527,0.7375041520927352
9,0.20344156207804132,0.1,0.4034415620780413
10,0.6265489875474557,0.4265489875474557,0.8265489875474556
11,0.26379922036954156,0.1,0.4637992203695416
12,0.3592562682942123,0.1592562682942123,0.5592562682942124
13,0.28109292629302984,0.1,0.48109292629302985
14,0.40243138105674114,0.20243138105674113,0.6024313810567412
15,0.5926466723714543,0.3926466723714543,0.7926466723714543
16,0.4156206776985967,0.21562067769859666,0.6156206776985966
17,0.5171930014050292,0.3171930014050292,0.7171930014050292
18,0.40696065323358366,0.20696065323358365,0.6069606532335836
19,0.646853172262229,0.44685317226222904,0.846853172262229
